CaseID,Activity,Timestamp,Lifecycle
Job_425,Cutting,0.2,QUEUE_ENTER
Job_268,Cutting,1.65,QUEUE_ENTER
Job_439,Cutting,2.06,QUEUE_ENTER
Job_16,Cutting,2.09,QUEUE_ENTER
Job_148,Cutting,3.49,QUEUE_ENTER
Job_205,Cutting,3.64,QUEUE_ENTER
Job_106,Cutting,3.9,QUEUE_ENTER
Job_40,Cutting,4.32,QUEUE_ENTER
Job_358,Cutting,4.53,QUEUE_ENTER
Job_110,Cutting,5.52,QUEUE_ENTER
Job_75,Cutting,6.02,QUEUE_ENTER
Job_2,Cutting,6.18,QUEUE_ENTER
Job_399,Cutting,6.73,QUEUE_ENTER
Job_463,Cutting,7.11,QUEUE_ENTER
Job_114,Cutting,9.35,QUEUE_ENTER
Job_151,Cutting,9.96,QUEUE_ENTER
Job_470,Cutting,10.4,QUEUE_ENTER
Job_194,Cutting,10.85,QUEUE_ENTER
Job_101,Cutting,10.96,QUEUE_ENTER
Job_459,Cutting,11.78,QUEUE_ENTER
Job_21,Cutting,12.23,QUEUE_ENTER
Job_182,Cutting,13.02,QUEUE_ENTER
Job_140,Cutting,13.72,QUEUE_ENTER
Job_299,Cutting,15.07,QUEUE_ENTER
Job_349,Cutting,15.5,QUEUE_ENTER
Job_54,Cutting,16.89,QUEUE_ENTER
Job_353,Cutting,16.98,QUEUE_ENTER
Job_497,Cutting,17.06,QUEUE_ENTER
Job_417,Cutting,17.09,QUEUE_ENTER
Job_50,Cutting,17.27,QUEUE_ENTER
Job_129,Cutting,17.35,QUEUE_ENTER
Job_201,Cutting,17.45,QUEUE_ENTER
Job_72,Cutting,18.32,QUEUE_ENTER
Job_437,Cutting,18.54,QUEUE_ENTER
Job_364,Cutting,18.76,QUEUE_ENTER
Job_83,Cutting,19.01,QUEUE_ENTER
Job_384,Cutting,20.09,QUEUE_ENTER
Job_370,Cutting,21.15,QUEUE_ENTER
Job_210,Cutting,21.38,QUEUE_ENTER
Job_302,Cutting,21.53,QUEUE_ENTER
